City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Tiksi,RU,1622171458,100,87,71.6872,128.8694,36.61,5.73
Pochutla,MX,1622171458,76,72,15.7432,-96.4661,85.82,4.5
Tegul'det,RU,1622171458,100,93,57.3064,88.1667,37.38,13.6
Tuktoyaktuk,CA,1622171459,100,75,69.4541,-133.0374,30.38,10.87
Chapais,CA,1622171459,5,52,49.7834,-74.8492,29.98,11.25
Nizhniy Odes,RU,1622171459,100,96,63.6445,54.856,36.77,2.75
Bathsheba,BB,1622171459,40,65,13.2167,-59.5167,79.41,17.25
Pemangkat,ID,1622171460,18,70,1.1667,108.9667,85.01,1.79
Nanortalik,GL,1622171460,78,77,60.1432,-45.2371,41.02,5.08
Lingyuan,CN,1622171460,1,29,41.24,119.4011,68.59,21.3
Saint Paul Harbor,US,1622171461,20,62,57.79,-152.4072,56.71,10.36
Kavieng,PG,1622171461,99,82,-2.5744,150.7967,81.12,6.26
Broken Hill,AU,1622171462,97,53,-31.95,141.4333,58.19,16.84
Nikolskoye,RU,1622171462,33,97,59.7035,30.7861,51.4,3.06
Mutsu,JP,1622171462,98,88,41.2894,141.2169,55.06,6.29
Karla,EE,1622171462,90,87,59.3723,24.9275,48.16,8.05
Opuwo,NA,1622171463,0,43,-18.0607,13.84,58.82,7.83
Cayenne,GF,1622171463,75,90,4.9333,-52.3333,75.24,3.98
Lethem,GY,1622171464,100,90,3.3803,-59.7968,74.16,9.24
Ţahţā,EG,1622171464,0,29,26.7693,31.5021,79.09,9.66
Tautira,PF,1622171464,38,61,-17.7333,-149.15,82.42,3.15
Anantnag,IN,1622171465,0,47,33.7333,75.15,67.21,2.55
Talnakh,RU,1622171465,100,71,69.4865,88.3972,27.86,1.95
Port Blair,IN,1622171465,28,72,11.6667,92.75,85.01,7.56
Waterloo,CA,1622171436,100,70,43.4668,-80.5164,51.73,4.0
Niamey,NE,1622171466,100,38,13.5137,2.1098,90.7,12.62
Husavik,IS,1622171466,8,64,66.0449,-17.3389,44.04,15.1
União,BR,1622171466,13,73,-4.5858,-42.8642,77.02,1.34
Vavoua,CI,1622171467,60,96,7.3819,-6.4778,72.72,4.32
Carnot,CF,1622171467,75,96,4.9409,15.8665,68.22,1.79
Yining,CN,1622171468,100,79,29.0361,114.5636,71.44,1.1
Okhotsk,RU,1622171468,100,69,59.3833,143.3,46.13,7.23
Te Anau,NZ,1622171468,100,96,-45.4167,167.7167,41.97,2.98
Yeppoon,AU,1622171469,0,27,-23.1333,150.7333,73.18,3.76
Russell,US,1622171469,90,88,32.3502,-85.1999,76.96,3.87
Kysyl-Syr,RU,1622171469,11,28,63.8986,122.7617,68.29,8.9
Kirakira,SB,1622171471,89,70,-10.4544,161.9205,81.68,2.46
Puerto Quijarro,BO,1622171472,68,60,-17.7833,-57.7667,75.74,2.66
Soma,TR,1622171473,98,83,39.1855,27.6094,59.18,2.89
Zastron,ZA,1622171473,27,50,-30.3023,27.084,45.3,6.58
Florø,NO,1622171473,10,81,61.5996,5.0328,49.96,5.75
Gigmoto,PH,1622171474,79,70,13.7796,124.39,88.12,7.58
Caibarién,CU,1622171474,100,73,22.5206,-79.4669,76.32,11.39
Ilulissat,GL,1622171475,100,30,69.2167,-51.1,51.82,20.71
Asău,RO,1622171475,81,100,46.4333,26.4,58.39,3.4
Chu,KZ,1622171475,28,43,43.5983,73.7614,77.22,2.77
Bosaso,SO,1622171475,96,52,11.2842,49.1816,87.33,5.1
Beringovskiy,RU,1622171476,100,96,63.05,179.3167,32.95,6.17
Cherskiy,RU,1622171476,100,30,68.75,161.3,59.67,20.62
Namie,JP,1622171477,67,49,37.4833,141.0,78.71,9.13
Byron Bay,AU,1622171477,0,54,-28.65,153.6167,72.05,11.27
Vanavara,RU,1622171477,98,31,60.34,102.2797,57.78,12.68
Uribia,CO,1622171478,82,77,11.7139,-72.266,80.38,13.71
Sitka,US,1622171478,90,81,57.0531,-135.33,48.09,5.75
Sørland,NO,1622171478,82,73,67.667,12.6934,44.1,10.2
Atar,MR,1622171479,6,21,20.5169,-13.0499,83.28,7.11
San Quintín,MX,1622171479,0,81,30.4833,-115.95,62.44,11.95
Mongu,ZM,1622171479,0,49,-15.2484,23.1274,49.5,4.92
Longyearbyen,SJ,1622171479,20,64,78.2186,15.6401,30.04,13.8
Sawtell,AU,1622171480,0,42,-30.3833,153.1,66.22,19.57
Leningradskiy,RU,1622171480,85,91,69.3833,178.4167,33.62,12.39
Road Town,VG,1622171480,0,74,18.4167,-64.6167,80.69,11.7
Ribas do Rio Pardo,BR,1622171481,100,63,-20.4431,-53.7592,73.29,4.32
Oussouye,SN,1622171481,29,75,12.485,-16.5469,74.37,2.13
Nemuro,JP,1622171481,100,97,43.3236,145.575,42.76,12.55
Champerico,GT,1622171482,51,84,14.3,-91.9167,82.35,8.19
Santa Cruz de la Sierra,BO,1622171332,75,78,-17.8,-63.1667,74.66,12.86
Pantai Remis,MY,1622171482,83,68,4.4557,100.6288,83.93,5.06
San Miguel de Tucumán,AR,1622171482,2,88,-26.8241,-65.2226,55.4,3.47
Rebrikha,RU,1622171483,8,49,53.0733,82.3408,51.64,11.21
Henties Bay,NA,1622171483,3,83,-22.116,14.2845,60.85,5.95
Dingle,PH,1622171484,52,60,10.9995,122.6711,90.07,5.5
Geraldton,AU,1622171484,40,72,-28.7667,114.6,67.12,9.71
Pevek,RU,1622171484,54,76,69.7008,170.3133,37.09,3.58
Methven,NZ,1622171485,100,75,-43.6333,171.65,49.46,3.94
Mīzan Teferī,ET,1622171485,65,97,6.9833,35.5833,60.01,3.13
Kinkala,CG,1622171476,64,83,-4.3614,14.7644,69.19,2.73
Qui Nhon,VN,1622171486,100,69,13.7667,109.2333,86.76,8.93
Nieuw Amsterdam,SR,1622171486,100,94,5.8833,-55.0833,78.03,5.82
Kaitangata,NZ,1622171486,100,93,-46.2817,169.8464,45.66,3.44
Ivolginsk,RU,1622171487,20,29,51.7492,107.2837,60.46,3.78
Marabu,MY,1622171487,99,83,4.4148,114.0089,82.51,4.76
Klaksvík,FO,1622171488,93,84,62.2266,-6.589,45.52,13.85
Amuntai,ID,1622171488,42,52,-2.4177,115.2494,92.46,1.14
Kumul,CN,1622171488,100,9,42.8,93.45,88.25,1.25
Morón,AR,1622171302,18,83,-34.6534,-58.6198,61.79,1.99
Turan,VN,1622171329,20,52,16.0678,108.2208,96.78,2.3
Uyuni,BO,1622171489,68,55,-20.4597,-66.825,41.05,9.75
Padang,ID,1622171489,90,71,-0.9492,100.3543,86.05,3.18
Mbaïki,CF,1622171489,100,97,3.8678,17.9892,71.17,0.87
Port Lincoln,AU,1622171490,97,57,-34.7333,135.8667,61.77,9.64
Coos Bay,US,1622171490,1,74,43.3665,-124.2179,60.85,5.75
Mildura,AU,1622171490,75,63,-34.2,142.15,58.96,9.22
Pechenga,RU,1622171490,88,73,69.5259,31.1703,38.26,18.57
Darhan,MN,1622171491,80,37,49.4867,105.9228,61.07,4.34
Frankfurt am Main,DE,1622171466,0,89,50.1167,8.6833,49.37,2.13
Zimovniki,RU,1622171491,98,71,47.1483,42.4633,63.01,6.85
Lüderitz,NA,1622171492,3,73,-26.6481,15.1594,57.0,9.71
Sal Rei,CV,1622171492,13,83,16.1833,-22.9167,70.36,14.52
Honningsvåg,NO,1622171492,100,65,70.9821,25.9704,33.33,21.97
Iberia,US,1622171492,40,94,29.9502,-91.7507,77.11,7.25
Vicksburg,US,1622171447,1,92,32.3526,-90.8779,80.56,6.69
Ambilobe,MG,1622171493,0,93,-13.2,49.05,66.13,2.71
Al Bardīyah,LY,1622171493,21,71,31.7561,25.0865,68.63,12.73
Sterling,US,1622171493,40,69,39.0062,-77.4286,73.98,1.01
Nuuk,GL,1622171494,75,93,64.1835,-51.7216,34.41,11.5
São José da Coroa Grande,BR,1622171494,71,85,-8.8978,-35.1478,76.41,11.14
Fossano,IT,1622171494,20,86,44.5489,7.7201,60.91,1.14
Pacific Grove,US,1622171495,75,85,36.6177,-121.9166,68.16,4.0
Brocēni,LV,1622171495,73,98,56.7,22.5333,42.13,3.96
Riberalta,BO,1622171495,96,78,-10.9833,-66.1,72.75,2.19
Mersing,MY,1622171495,10,63,2.4312,103.8405,87.15,5.32
Saint Anthony,US,1622171496,90,91,45.0205,-93.218,44.62,3.0
Sakakah,SA,1622171346,0,13,29.9697,40.2064,80.01,8.01
Maceió,BR,1622171496,75,83,-9.6658,-35.7353,78.24,10.25
Uray,RU,1622171496,100,63,60.1247,64.7758,46.72,6.35
Muravlenko,RU,1622171497,43,50,63.7898,74.523,38.23,16.64
Tarquinia,IT,1622171497,5,75,42.2482,11.7553,52.59,9.8
Tigil',RU,1622171497,100,77,57.8,158.6667,43.41,8.95
Verkhnevilyuysk,RU,1622171498,6,34,63.4453,120.3167,67.68,6.73
Tiruchchendur,IN,1622171498,19,68,8.4833,78.1167,86.29,5.39
Ostrovnoy,RU,1622171498,99,80,68.0531,39.5131,41.85,17.2
Dolores,AR,1622171498,100,85,-36.3132,-57.6792,55.98,9.78
Garissa,KE,1622171499,80,88,-0.4536,39.6401,72.09,10.25
Ikongo,MG,1622171499,5,96,-21.8833,47.4333,59.27,2.98
Havøysund,NO,1622171499,100,68,70.9963,24.6622,36.48,18.9
Presidente Médici,BR,1622171473,53,84,-11.1753,-61.9014,72.36,0.4
Lukovetskiy,RU,1622171500,100,92,64.2956,41.9211,42.78,5.75
Isangel,VU,1622171500,100,51,-19.55,169.2667,75.81,3.06
Poum,NC,1622171501,61,65,-20.2333,164.0167,74.23,10.76
Puerto Peñasco,MX,1622171222,0,78,31.3167,-113.5333,76.91,8.05
Port Hardy,CA,1622171501,100,91,50.6996,-127.4199,48.76,8.81
Eyl,SO,1622171501,100,73,7.9803,49.8164,78.64,12.82
Pauini,BR,1622171502,63,69,-7.7136,-66.9764,76.78,0.56
Chicama,PE,1622171502,48,89,-7.8447,-79.1469,67.75,5.39
Peniche,PT,1622171502,36,89,39.3558,-9.3811,63.73,9.37
Bereket,TM,1622171503,0,50,39.2446,55.5154,74.23,3.04
Synya,RU,1622171503,21,41,65.3718,58.0387,42.26,6.53
Olecko,PL,1622171503,62,93,54.0337,22.507,44.53,3.91
Ulm,DE,1622171504,39,93,48.3984,9.9916,49.98,3.22
Dergachi,RU,1622171504,96,57,51.2328,48.7659,63.19,12.01
Muzhi,RU,1622171504,82,42,65.3667,64.6667,39.9,1.05
Khorramshahr,IR,1622171505,0,36,30.4397,48.1664,82.36,2.3
Baishishan,CN,1622171505,100,49,43.5833,127.5667,64.27,2.17
Ayan,RU,1622171505,53,80,56.45,138.1667,38.01,5.64
Puerto Colombia,CO,1622171506,100,86,10.9878,-74.9547,80.69,23.0
Pangnirtung,CA,1622171475,80,96,66.1451,-65.7125,25.99,1.79
Yadgir,IN,1622171506,98,52,16.7667,77.1333,86.54,14.25
Tasiilaq,GL,1622171491,13,89,65.6145,-37.6368,37.56,5.28
Homer,US,1622171506,1,57,59.6425,-151.5483,62.08,12.66
Thunder Bay,CA,1622171421,100,68,48.4001,-89.3168,39.29,3.49
Umm Kaddadah,SD,1622171507,41,13,13.6017,26.6876,81.57,9.33
Qandala,SO,1622171507,100,60,11.472,49.8728,86.61,3.33
Meulaboh,ID,1622171507,85,67,4.1363,96.1285,84.27,2.04
Coyhaique,CL,1622171508,40,93,-45.5752,-72.0662,39.15,5.75
East London,ZA,1622171489,58,73,-33.0153,27.9116,60.96,6.15
Turukhansk,RU,1622171508,100,68,65.8167,87.9833,45.39,13.53
Semey,KZ,1622171508,0,44,50.4111,80.2275,61.02,8.95
Kousséri,CM,1622171509,84,39,12.0769,15.0306,88.7,9.48
Ereymentau,KZ,1622171509,0,55,51.6199,73.1033,55.36,7.45
Karratha,AU,1622171509,44,38,-20.7377,116.8463,83.03,18.54
Taywarah,AF,1622171510,0,31,33.35,64.4167,60.46,4.72
Marawi,PH,1622171510,41,57,7.9986,124.2928,84.13,1.92
Uspenka,UA,1622171510,96,74,48.3903,39.1619,62.38,2.42
Luanda,AO,1622171511,22,87,-8.8368,13.2343,71.33,8.48
Aldan,RU,1622171511,61,63,58.6031,125.3894,52.43,9.24
Bilibino,RU,1622171511,82,54,68.0546,166.4372,49.37,11.21
Araouane,ML,1622171512,100,16,18.9048,-3.5265,89.91,10.2
Cocula,MX,1622171512,52,46,20.3652,-103.8222,85.33,6.04
Fort Madison,US,1622171513,90,100,40.6298,-91.3151,68.49,12.66
Rāybāg,IN,1622171513,100,66,16.4833,74.7833,80.13,15.93
Saint-Pierre,RE,1622171513,0,76,-21.3393,55.4781,71.24,6.91
Kirando,TZ,1622171514,17,72,-7.4167,30.6,69.84,9.78
Palana,RU,1622171514,100,90,59.1167,159.9667,35.29,6.85
Muncar,ID,1622171514,27,69,-8.4333,114.3333,85.23,6.64
Vila Franca do Campo,PT,1622171478,86,75,37.7167,-25.4333,57.61,5.35
Flin Flon,CA,1622171515,57,51,54.7682,-101.865,50.38,12.21
Klyuchi,RU,1622171515,2,45,52.2667,79.1667,55.02,11.14
Iranshahr,IR,1622171515,0,15,27.2025,60.6848,88.14,0.0
Marinette,US,1622171516,90,87,45.1,-87.6307,41.49,6.91
Velsk,RU,1622171516,81,86,61.0701,42.0983,48.87,4.54
Frontera,MX,1622171516,56,40,26.9333,-101.45,89.76,10.87
Lødingen,NO,1622171517,35,64,68.414,15.9951,44.44,8.99
Tayginka,RU,1622171517,0,56,55.6244,60.5076,59.07,5.21
Hay River,CA,1622171518,75,51,60.8156,-115.7999,52.41,3.6
Tabou,CI,1622171518,21,84,4.423,-7.3528,78.78,4.92
Tame,CO,1622171518,95,94,6.461,-71.73,69.24,2.15
Yaan,NG,1622171518,15,88,7.3833,8.5667,75.76,6.49
Portland,US,1622171378,75,67,45.5234,-122.6762,59.36,1.99
Charyshskoye,RU,1622171519,80,77,51.3978,83.5598,53.33,5.64
Bubaque,GW,1622171519,14,79,11.2833,-15.8333,77.56,8.57
Oskemen,KZ,1622171519,0,52,49.9565,82.6119,64.36,14.23
